ACT01,John Wick: Chapter 4,169,10,Chad Stahelski,Keanu Reeves| Donnie Yen,John Wick tìm ra con đường để đánh bại High Table.Nhưng trước khi giành lại tự do| Wick phải đối mặt với một kẻ thù mới.,posters/ACT01.jpg,ENDED
ANM04,Despicable Me 4,94,8,Chris Renaud,Steve Carell| Kristen Wiig,Gru và gia đình chào đón một thành viên mới |Gru Jr.| người có ý định hành hạ cha mình.,posters/ANM04.jpg,ENDED
ACT02,Deadpool & Wolverine,127,12,Shawn Levy,Ryan Reynolds| Hugh Jackman,Một nhiệm vụ vô vọng khiến Deadpool phải hợp tác với Wolverine để cứu lấy vũ trụ của mình.,posters/ACT02.jpg,NOW_SHOWING
ACT03,John Wick: Ballerina,107,12,Len Wiseman,Ana de Armas| Keanu Reeves| Ian McShane,Lấy bối cảnh giữa phần 3 và 4 của John Wick| câu chuyện theo chân Eve Macarro| một sát thủ trẻ tuổi đang tìm cách trả thù những kẻ đã sát hại gia đình mình.,posters/ACT03.jpg,COMING_SOON
ACT04,John Wick: Chapter 2,122,12,Chad Stahelski,Keanu Reeves| Ian McShane,John Wick is forced out of retirement by a former associate plotting to seize control of a shadowy international assassins guild.,posters/ACT04.jpg,ENDED
ACT05,Spider Man: No Way Home,148,15,Jon Watts,Tom Holland| Zendaya,With SpiderMan identity now revealed| Peter asks Doctor Strange for help. When a spell goes wrong| dangerous foes from other worlds appear.,posters/ACT05.jpg,NOW_SHOWING
ACT06,Mission: Impossible Dead Reckoning,163,18,Christopher McQuarrie,Tom Cruise| Hayley Atwell,Ethan Hunt and his IMF team must track down a dangerous new weapon that threatens all of humanity before it falls into the wrong hands.,posters/ACT06.jpg,COMING_SOON
ACT07,John Wick,101,12,Chad Stahelski,Keanu Reeves,An exhitman comes out of retirement to track down the gangsters that killed his dog.,posters/ACT07.jpg,ENDED
ANM01,Spirited Away,125,15,Hayao Miyazaki,Rumi Hiiragi,A young girl wanders into a world ruled by gods| witches| and spirits where humans are changed into beasts.,posters/ANM01.jpg,NOW_SHOWING
ANM02,Detective Conan: The Million dollar Pentagram,110,14,Chika Nagaoka,Minami Takayama,Conan and Heiji Hattori face off against Kaito Kid in Hakodate over a mysterious sword.,posters/ANM02.jpg,NOW_SHOWING
ANM03,Stand by Me Doraemon,95,13,Takashi Yamazaki,Wasabi Mizuta,A robotic cat from the future travels back in time to aid a young boy named Nobita.,posters/ANM03.jpg,ENDED
ROM01,Past Lives,105,16,Celine Song,Greta Lee,Two deeply connected childhood friends are reunited for one fateful week as they confront notions of destiny.,posters/ROM01.jpg,NOW_SHOWING
ANM05,Your Name,106,15,Makoto Shinkai,Ryunosuke Kamiki,Two strangers find themselves linked in a bizarre way. When a connection form| will distance be the only thing to keep them apart|,posters/ANM05.jpg,ENDED
ROM02,We Live in Time,107,17,John Crowley,Andrew Garfield,An up and coming chef and a recent divorcee find their lives forever changed after a chance encounter.,posters/ROM02.jpg,COMING_SOON
